name,wiki_name,raw_summary,clean_summary,sent_count,token_count,first_sent
Denmark,Denmark,"Denmark (Danish: Danmark), officially named the Kingdom of Denmark, is a Nordic country in Northern Europe. It is the furthest south of the Scandinavian countries, to the south of Norway and south-west of Sweden (which it is connected to by a bridge). It has a south border with Germany. It borders both the North Sea to the west and the Baltic Sea to the east. Denmark is a developed country with a large welfare state; In 2006 and 2007, surveys ranked Denmark as ""the happiest place in the world,"" based on standards of health, welfare, and education.
The capital city of Denmark is Copenhagen, on the island of Sealand. Denmark is a constitutional monarchy (meaning the head of state is a monarch who has few established powers) with a queen, Margrethe II. Denmark is a parliamentary state, meaning the people appoint a parliament to make decisions for them, and it has a democratic government headed by an elected Prime Minister, who currently is Lars Løkke Rasmussen.
In geography, Denmark is the land in northern Europe, where the Danes live. In the political sense, the Kingdom of Denmark also includes the Faroe Islands in the Atlantic Ocean, and Greenland in North America. All three parts of the country have different languages and culture.","Denmark, officially named the Kingdom of Denmark, is a Nordic country in Northern Europe. It is the furthest south of the Scandinavian countries, to the south of Norway and south-west of Sweden. It has a south border with Germany. It borders both the North Sea to the west and the Baltic Sea to the east. Denmark is a developed country with a large welfare state; In 2006 and 2007, surveys ranked Denmark as ""the happiest place in the world,"" based on standards of health, welfare, and education. The capital city of Denmark is Copenhagen, on the island of Sealand. Denmark is a constitutional monarchy with a queen, Margrethe II. Denmark is a parliamentary state, meaning the people appoint a parliament to make decisions for them, and it has a democratic government headed by an elected Prime Minister, who currently is Lars Løkke Rasmussen. In geography, Denmark is the land in northern Europe, where the Danes live. In the political sense, the Kingdom of Denmark also includes the Faroe Islands in the Atlantic Ocean, and Greenland in North America. All three parts of the country have different languages and culture.",11,219,"Denmark, officially named the Kingdom of Denmark, is a Nordic country in Northern Europe."
Djibouti,Djibouti,"Djibouti (officially called the Republic of Djibouti) is a country on the eastern coast of Africa. Djibouti gained its independence on June 27, 1977. The country was created out of the French Somaliland (later called the French Territory of the Afars and Issas), which was created in the 1800s as a result of French colonialism in Africa. Djibouti had a population of 818,159 at the 2009 census. It is one of the least populous countries in Africa.
Djibouti joined the United Nations on September 20, 1977. It is also a member of the Arab League, as well as the African Union and the Intergovernmental Authority on Development (IGAD).
The history of Djibouti goes back thousands of years when it was part of the Sabean Empire (Ethiopia) to a time when Djiboutians traded hides and skins for the perfumes and spices of ancient Egypt, Pakistan, and China. Through close contacts with the Arabian peninsula for more than 1,000 years, the Somali and Afar tribes in this region became among the first on the African continent to accept Islam. Djibouti is a Muslim country which regularly takes part in Islamic as well as Arab meetings.
The country is close to a narrow part of the Red Sea so it is considered an important area from a military viewpoint.","Djibouti is a country on the eastern coast of Africa. Djibouti gained its independence on June 27, 1977. The country was created out of the French Somaliland, which was created in the 1800s as a result of French colonialism in Africa. Djibouti had a population of 818,159 at the 2009 census. It is one of the least populous countries in Africa. Djibouti joined the United Nations on September 20, 1977. It is also a member of the Arab League, as well as the African Union and the Intergovernmental Authority on Development. The history of Djibouti goes back thousands of years when it was part of the Sabean Empire to a time when Djiboutians traded hides and skins for the perfumes and spices of ancient Egypt, Pakistan, and China. Through close contacts with the Arabian peninsula for more than 1,000 years, the Somali and Afar tribes in this region became among the first on the African continent to accept Islam. Djibouti is a Muslim country which regularly takes part in Islamic as well as Arab meetings. The country is close to a narrow part of the Red Sea so it is considered an important area from a military viewpoint.",11,216,Djibouti is a country on the eastern coast of Africa.
Dominica,Dominica,"The Commonwealth of Dominica is an island nation in the Caribbean Sea. It is an English-speaking country. It is located between the French-speaking territories of Guadeloupe and Martinique. The island measures 751 km² (290 mi²) in area. Roseau is its capital. Portsmouth is another main town. Almost 70,000 people live on the island.
The currency of the island is the East Caribbean dollar.
The island's name comes from the Latin for Sunday, Dies Dominica. It is not to be confused with the Spanish-speaking Dominican Republic in the Greater Antilles.
The country is nicknamed the Nature Island of the Caribbean.
Dominica is most famously depicted in Jean Rhys' classic prequel to Jane Eyre, Wide Sargasso Sea.","The Commonwealth of Dominica is an island nation in the Caribbean Sea. It is an English-speaking country. It is located between the French-speaking territories of Guadeloupe and Martinique. The island measures 751 km² in area. Roseau is its capital. Portsmouth is another main town. Almost 70,000 people live on the island. The currency of the island is the East Caribbean dollar. The island's name comes from the Latin for Sunday, Dies Dominica. It is not to be confused with the Spanish-speaking Dominican Republic in the Greater Antilles. The country is nicknamed the Nature Island of the Caribbean. Dominica is most famously depicted in Jean Rhys' classic prequel to Jane Eyre, Wide Sargasso Sea.",12,129,The Commonwealth of Dominica is an island nation in the Caribbean Sea.
Dominican Republic,Dominican Republic,"The Dominican Republic (Spanish: República Dominicana) is a country on the Caribbean island of Hispaniola; the other country on the island is Haiti. Its capital, and largest city, is Santo Domingo. The national language is Spanish.
The country was part of the Spanish empire until the late 18th century. In the 19th century France, Spain and Haiti controlled it at various times, and later it was independent. It was occupied by the United States from 1916 to 1924. The Dominican Republic is a presidential democratic republic. The country has a tropical climate but modified by elevation and the trade winds (winds that come from the northeast, from the Atlantic Ocean).","The Dominican Republic is a country on the Caribbean island of Hispaniola; the other country on the island is Haiti. Its capital, and largest city, is Santo Domingo. The national language is Spanish. The country was part of the Spanish empire until the late 18th century. In the 19th century France, Spain and Haiti controlled it at various times, and later it was independent. It was occupied by the United States from 1916 to 1924. The Dominican Republic is a presidential democratic republic. The country has a tropical climate but modified by elevation and the trade winds.",8,110,The Dominican Republic is a country on the Caribbean island of Hispaniola; the other country on the island is Haiti.
Dutch Sint Maarten,Saint Martin (Netherlands),"Sint Maarten (or Saint Martin) is the name of the territory of the southern half of the island of St. Martin. It belongs to the Netherlands.
The Island area of St. Martin (Dutch: Eilandgebied Sint Maarten) was part of the Netherlands Antilles, until the Antilles was dissolved in October 2010, when Sint Maarten became a ""country"" (""land"") within the Kingdom of the Netherlands. The Government of the Netherlands is responsible for defence, foreign affairs and nationality law. Although part of the Kingdom of the Netherlands the territory of Sint Maarten is not part of the European Union; however, its people are citizens of the European Union.","Sint Maarten is the name of the territory of the southern half of the island of St. Martin. It belongs to the Netherlands. The Island area of St. Martin was part of the Netherlands Antilles, until the Antilles was dissolved in October 2010, when Sint Maarten became a ""country"" within the Kingdom of the Netherlands. The Government of the Netherlands is responsible for defence, foreign affairs and nationality law. Although part of the Kingdom of the Netherlands the territory of Sint Maarten is not part of the European Union; however, its people are citizens of the European Union.",5,110,Sint Maarten is the name of the territory of the southern half of the island of St. Martin.
East Timor,East Timor,"The Democratic Republic of East Timor or Timor Leste is a country in Southeast Asia. It is on the eastern side of the island of Timor, and also the smaller islands of Atauro and Jaco, and a small area, named Oecussi-Ambeno, inside the west side of Timor. That area is an exclave, which means it is separated from the main part of the country by part of another country. That other country is Indonesia.
The capital and largest city, Dili, is home to one hundred and fifty thousand people. The next largest city is Baucau. (see List of settlements in East Timor).
East Timor gets its name from the Malay word for ""east"", timur.
It is a member of the United Nations and the Community of Portuguese Language Countries.","The Democratic Republic of East Timor or Timor Leste is a country in Southeast Asia. It is on the eastern side of the island of Timor, and also the smaller islands of Atauro and Jaco, and a small area, named Oecussi-Ambeno, inside the west side of Timor. That area is an exclave, which means it is separated from the main part of the country by part of another country. That other country is Indonesia. The capital and largest city, Dili, is home to one hundred and fifty thousand people. The next largest city is Baucau. East Timor gets its name from the Malay word for ""east"", timur. It is a member of the United Nations and the Community of Portuguese Language Countries.",8,140,The Democratic Republic of East Timor or Timor Leste is a country in Southeast Asia.
Ecuador,Ecuador,"Ecuador is a small country in South America. It is along the equator. Ecuador has jungles and mountains like the Andes mountains. On the coast of the Pacific Ocean there are beaches. The capital is Quito in the Andes. Quito is at a high altitude. This makes it hard for some new visitors to breathe. The biggest city is Guayaquil on the coast. Cuenca, Ecuador is famous for its old buildings and colonial architecture. Peru borders Ecuador to the south, and Colombia borders it to the north. The Galápagos Islands in the Pacific Ocean are also part of Ecuador and are famous for lots of animals. Charles Darwin travelled in Galápagos.","Ecuador is a small country in South America. It is along the equator. Ecuador has jungles and mountains like the Andes mountains. On the coast of the Pacific Ocean there are beaches. The capital is Quito in the Andes. Quito is at a high altitude. This makes it hard for some new visitors to breathe. The biggest city is Guayaquil on the coast. Cuenca, Ecuador is famous for its old buildings and colonial architecture. Peru borders Ecuador to the south, and Colombia borders it to the north. The Galápagos Islands in the Pacific Ocean are also part of Ecuador and are famous for lots of animals. Charles Darwin travelled in Galápagos.",12,125,Ecuador is a small country in South America.
Egypt,Egypt,"Egypt is a country in northeast Africa. Its capital city is Cairo. Egypt is famous for its ancient monuments, such as the Pyramids and the Sphinx.","Egypt is a country in northeast Africa. Its capital city is Cairo. Egypt is famous for its ancient monuments, such as the Pyramids and the Sphinx.",3,30,Egypt is a country in northeast Africa.
El Salvador,El Salvador,"El Salvador (Spanish: República de El Salvador) is the smallest and most densely populated country in Central America. The country's capital and largest city is San Salvador. Other important cities are: Santa Ana and San Miguel. El Salvador borders the Pacific Ocean on the south, and the countries of Guatemala to the west and Honduras to the north and east.
In 2010 El Salvador ranked in the top 10 Latin American countries in terms of Human Development Index. It was in the top 3 in Central America (behind Costa Rica and Panama). Also, tropical forests and overall forests have expanded by nearly 20% from the year 1992 to 2010, making it one of the few countries experiencing reforestation.
In El Salvador there are only two seasons. The dry season starts in mid-October and it lasts until mid May. During the dry season, it hardly ever rains. The wet season starts in mid-May and ends in mid-October. In this season it rains every day. The dry season is called summer and the rainy season is called winter.
Most of the population is mestizo, a mixture of European and American people.","El Salvador is the smallest and most densely populated country in Central America. The country's capital and largest city is San Salvador. Other important cities are: Santa Ana and San Miguel. El Salvador borders the Pacific Ocean on the south, and the countries of Guatemala to the west and Honduras to the north and east. In 2010 El Salvador ranked in the top 10 Latin American countries in terms of Human Development Index. It was in the top 3 in Central America. Also, tropical forests and overall forests have expanded by nearly 20% from the year 1992 to 2010, making it one of the few countries experiencing reforestation. In El Salvador there are only two seasons. The dry season starts in mid-October and it lasts until mid May. During the dry season, it hardly ever rains. The wet season starts in mid-May and ends in mid-October. In this season it rains every day. The dry season is called summer and the rainy season is called winter. Most of the population is mestizo, a mixture of European and American people.",14,201,El Salvador is the smallest and most densely populated country in Central America.
Equatorial Guinea,Equatorial Guinea,"The Republic of Equatorial Guinea is a nation in west central Africa, and one of the smallest countries in Africa. It borders Cameroon on the north, Gabon on the south and east, and the Gulf of Guinea on the west. In the past, it was the Spanish colony of Spanish Guinea. The country's territory is both on the continent and on islands. The continental part is known as Río Muni. On one island, Bioko, is the capital, Malabo.
Equatorial Guinea is the only country in Africa where Spanish is an official language.","The Republic of Equatorial Guinea is a nation in west central Africa, and one of the smallest countries in Africa. It borders Cameroon on the north, Gabon on the south and east, and the Gulf of Guinea on the west. In the past, it was the Spanish colony of Spanish Guinea. The country's territory is both on the continent and on islands. The continental part is known as Río Muni. On one island, Bioko, is the capital, Malabo. Equatorial Guinea is the only country in Africa where Spanish is an official language.",7,107,"The Republic of Equatorial Guinea is a nation in west central Africa, and one of the smallest countries in Africa."
Eritrea,Eritrea,Eritrea is a country on the eastern coast of Africa. Its official name is The State of Eritrea.,Eritrea is a country on the eastern coast of Africa. Its official name is The State of Eritrea.,2,20,Eritrea is a country on the eastern coast of Africa.
Estonia,Estonia,"Estonia /ɨsˈtoʊniə/ (Estonian: Eesti), officially the Republic of Estonia (Estonian: Eesti Vabariik) is a small country in the Baltic Region of Northern Europe. The capital city is Tallinn. Estonia's neighbors are Sweden, Finland, Russia and Latvia. Its population is 1,332,893.
Estonia became a member of the North Atlantic Treaty Organization (NATO) on 29 March 2004. It joined the European Union on 1 May 2004.
Estonia is east from the Baltic Sea and the northest of the Baltic States.

Estonia is divided into 15 counties (maakond): Harjumaa, Hiiumaa, Ida-Virumaa, Jõgevamaa, Järvamaa, Läänemaa, Lääne-Virumaa, Põlvamaa, Pärnumaa, Raplamaa, Saaremaa, Tartumaa, Valgamaa, Viljandimaa, Võrumaa.

Estonia has many forests, almost 50% of the land is covered with forests. Estonia has over 1,400 lakes and 1,500 islands.","Estonia /ɨsˈtoʊniə/, officially the Republic of Estonia is a small country in the Baltic Region of Northern Europe. The capital city is Tallinn. Estonia's neighbors are Sweden, Finland, Russia and Latvia. Its population is 1,332,893. Estonia became a member of the North Atlantic Treaty Organization on 29 March 2004. It joined the European Union on 1 May 2004. Estonia is east from the Baltic Sea and the northest of the Baltic States. Estonia is divided into 15 counties : Harjumaa, Hiiumaa, Ida-Virumaa, Jõgevamaa, Järvamaa, Läänemaa, Lääne-Virumaa, Põlvamaa, Pärnumaa, Raplamaa, Saaremaa, Tartumaa, Valgamaa, Viljandimaa, Võrumaa. Estonia has many forests, almost 50% of the land is covered with forests. Estonia has over 1,400 lakes and 1,500 islands.",10,145,"Estonia /ɨsˈtoʊniə/, officially the Republic of Estonia is a small country in the Baltic Region of Northern Europe."
Ethiopia,Ethiopia,"Ethiopia is a country in the Horn of Africa. It has one of the most well known histories as a country in Africa and the world. Unlike other African countries, Ethiopia stayed together during the Scramble for Africa, except for 5 years when it was ruled by Italians. Ethiopia used to be called Abyssinia. The word ""Ethiopia"" is from the Greek word Αἰθιοπία meaning sun light burned face. BNP per capita 1370 $ (IMF) (2008).","Ethiopia is a country in the Horn of Africa. It has one of the most well known histories as a country in Africa and the world. Unlike other African countries, Ethiopia stayed together during the Scramble for Africa, except for 5 years when it was ruled by Italians. Ethiopia used to be called Abyssinia. The word ""Ethiopia"" is from the Greek word Αἰθιοπία meaning sun light burned face. BNP per capita 1370 $.",6,83,Ethiopia is a country in the Horn of Africa.
Falkland Islands,Falkland Islands,"The Falkland Islands are a group of islands in the South Atlantic ocean, off the coast of South America. They are an overseas territory of the United Kingdom. Argentina disputes this, and claims their sovereignty.
The Falklands War was fought over their possession during Margaret Thatcher`s time as British Prime Minister. There are many islands in the group but the two biggest are East Falkland and West Falkland. About 3,000 people live on them. The people of the islands are British and speak English. The main income for the people is from fishing and sheep farming.
The Falkland Islands are about 300 miles (480 km) east of Argentina. Argentina and the UK had a short war in 1982 because Argentina claims to own the islands. The war lasted 6 weeks and about 1,000 soldiers were killed. The UK defeated Argentina and after this the governments of the two countries would not negotiate (talk) with each other. In 1990 they began to have talks again, but Argentina later refused to continue talks.
Oil and gas has been found below the sea around the islands. There is also oil and gas outside the sea area that belongs to the UK. This is owned by Argentina.","The Falkland Islands are a group of islands in the South Atlantic ocean, off the coast of South America. They are an overseas territory of the United Kingdom. Argentina disputes this, and claims their sovereignty. The Falklands War was fought over their possession during Margaret Thatcher`s time as British Prime Minister. There are many islands in the group but the two biggest are East Falkland and West Falkland. About 3,000 people live on them. The people of the islands are British and speak English. The main income for the people is from fishing and sheep farming. The Falkland Islands are about 300 miles east of Argentina. Argentina and the UK had a short war in 1982 because Argentina claims to own the islands. The war lasted 6 weeks and about 1,000 soldiers were killed. The UK defeated Argentina and after this the governments of the two countries would not negotiate with each other. In 1990 they began to have talks again, but Argentina later refused to continue talks. Oil and gas has been found below the sea around the islands. There is also oil and gas outside the sea area that belongs to the UK. This is owned by Argentina.",16,219,"The Falkland Islands are a group of islands in the South Atlantic ocean, off the coast of South America."
Faroe Islands,Faroe Islands,"The Faroe Islands or Føroyar (that meaning ""Sheep Islands"") are a group of eighteen islands in the north Atlantic Ocean between Scotland, Norway, and Iceland.
They are a part of the Kingdom of Denmark, but have had local (autocratic) rule since 1948, and people in the Faroe Islands have had the right to do business with people from all countries since 1856. Most government matters are controlled by the Faroese government, except for military defense. The Faroes have similarities to Iceland, Shetland, the Orkney Islands, the Outer Hebrides and Greenland. The island group, or archipelago, left Norway in 1815. The Faroes have their own representatives in the Nordic Council.","The Faroe Islands or Føroyar are a group of eighteen islands in the north Atlantic Ocean between Scotland, Norway, and Iceland. They are a part of the Kingdom of Denmark, but have had local rule since 1948, and people in the Faroe Islands have had the right to do business with people from all countries since 1856. Most government matters are controlled by the Faroese government, except for military defense. The Faroes have similarities to Iceland, Shetland, the Orkney Islands, the Outer Hebrides and Greenland. The island group, or archipelago, left Norway in 1815. The Faroes have their own representatives in the Nordic Council.",6,120,"The Faroe Islands or Føroyar are a group of eighteen islands in the north Atlantic Ocean between Scotland, Norway, and Iceland."
Fiji,Fiji,"Fiji is a small country in the Pacific Ocean. It has 322 islands. The most important islands are Vanua Levu and Viti Levu. The capital city of Fiji is Suva, and the city with the most people is Nadi. There are about 844,330 people in Fiji. The official languages of Fiji are Fijian, English and Hindustani (a mix of Hindi and Urdu). Fiji is part of the Pacific Rim. About 313000 speak Fiji Hindi.
In the 17th and 18th centuries, the Dutch and the British explored Fiji. Fiji was a British colony up until 1970; British occupation lasted almost a century. They have many forest, mineral, and fish resources.","Fiji is a small country in the Pacific Ocean. It has 322 islands. The most important islands are Vanua Levu and Viti Levu. The capital city of Fiji is Suva, and the city with the most people is Nadi. There are about 844,330 people in Fiji. The official languages of Fiji are Fijian, English and Hindustani. Fiji is part of the Pacific Rim. About 313000 speak Fiji Hindi. In the 17th and 18th centuries, the Dutch and the British explored Fiji. Fiji was a British colony up until 1970; British occupation lasted almost a century. They have many forest, mineral, and fish resources.",11,120,Fiji is a small country in the Pacific Ocean.
Finland,Finland,"Finland (Suomi in Finnish) is a country in Northern Europe and is a member state of the European Union. Finland is one of the Nordic countries and is also part of Fennoscandia. Finland is located between the 60th and 70th latitudes North. Its neighbours are Sweden to the west, Norway to the north, Russia to the east and Estonia to the south, beyond the sea called Gulf of Finland. Most of western and southern coast is on the shore of the Baltic Sea.
The capital of Finland is Helsinki. The official currency of the country is the euro (EUR); before 2002 it was the markka, the Finnish mark (FIM). The president of Finland is Sauli Niinistö. 5.5 million people live in Finland. Finnish and Swedish both are the official languages of Finland; the most spoken languages is Finnish, mother tongue of about 90% of the population. Swedish is spoken by the Swedish speaking minority of Finland, called the Finnish Swedes, who make up 5% of the total population. Finland became independent of Russia on 6th December 1917.
The most important cities and towns in Finland are Helsinki, Espoo, Tampere, Vantaa, Turku, Oulu, Lahti, Kuopio, Jyväskylä and Pori.
Finland is a highly industrialised First World country. The most important Finnish industrial products are paper, and steel products such as machines and electronics. Nokia (the mobile company) is originally a company of Finland, named after a small town called Nokia.
Finland has been top of the list of least corrupt countries on the Corruption Perceptions Index more times than any other country.","Finland is a country in Northern Europe and is a member state of the European Union. Finland is one of the Nordic countries and is also part of Fennoscandia. Finland is located between the 60th and 70th latitudes North. Its neighbours are Sweden to the west, Norway to the north, Russia to the east and Estonia to the south, beyond the sea called Gulf of Finland. Most of western and southern coast is on the shore of the Baltic Sea. The capital of Finland is Helsinki. The official currency of the country is the euro ; before 2002 it was the markka, the Finnish mark. The president of Finland is Sauli Niinistö. 5.5 million people live in Finland. Finnish and Swedish both are the official languages of Finland; the most spoken languages is Finnish, mother tongue of about 90% of the population. Swedish is spoken by the Swedish speaking minority of Finland, called the Finnish Swedes, who make up 5% of the total population. Finland became independent of Russia on 6th December 1917. The most important cities and towns in Finland are Helsinki, Espoo, Tampere, Vantaa, Turku, Oulu, Lahti, Kuopio, Jyväskylä and Pori. Finland is a highly industrialised First World country. The most important Finnish industrial products are paper, and steel products such as machines and electronics. Nokia is originally a company of Finland, named after a small town called Nokia. Finland has been top of the list of least corrupt countries on the Corruption Perceptions Index more times than any other country.",17,290,Finland is a country in Northern Europe and is a member state of the European Union.
France,France,"France (French: France), officially the French Republic (French: République française), is a country in Western Europe. Its capital city is Paris. It is a member of the European Union. It is known for its culture, its many monuments and structures, and places such as the Louvre, the Eiffel Tower, the Arc de Triomphe, Giverny, Mont Saint Michel, Versailles, and Notre Dame de Paris. France is divided into 13 régions that are further subdivided départements.
The country has been one of the great powers since the end of the 17th century. During the 18th and 19th centuries, France had a vast colonial empire across West Africa and Southeast Asia, which does not exist anymore.
It is the most visited country in the world, as about 82 million foreign tourists visit it every year. France is a founding member of the European Union and has the largest land area of any member. France is also a founding member of the United Nations, and a member of the G8 and NATO. It is one of the five permanent members of the United Nations Security Council and possesses nuclear weapons, including active warheads, and also has nuclear power plants.
Some well-known cities in France include Paris, Lyon, Marseille, Bordeaux, Lille, Toulouse, Nice, Strasbourg, Rennes and Nantes.","France, officially the French Republic, is a country in Western Europe. Its capital city is Paris. It is a member of the European Union. It is known for its culture, its many monuments and structures, and places such as the Louvre, the Eiffel Tower, the Arc de Triomphe, Giverny, Mont Saint Michel, Versailles, and Notre Dame de Paris. France is divided into 13 régions that are further subdivided départements. The country has been one of the great powers since the end of the 17th century. During the 18th and 19th centuries, France had a vast colonial empire across West Africa and Southeast Asia, which does not exist anymore. It is the most visited country in the world, as about 82 million foreign tourists visit it every year. France is a founding member of the European Union and has the largest land area of any member. France is also a founding member of the United Nations, and a member of the G8 and NATO. It is one of the five permanent members of the United Nations Security Council and possesses nuclear weapons, including active warheads, and also has nuclear power plants. Some well-known cities in France include Paris, Lyon, Marseille, Bordeaux, Lille, Toulouse, Nice, Strasbourg, Rennes and Nantes.",12,243,"France, officially the French Republic, is a country in Western Europe."
French Guiana,French Guiana,"French Guiana (French: Guyane) is an overseas department and region of France, on the north Atlantic coast of South America. By land area, it is the second largest region of France and the largest overseas department of France and of the European Union.
Its prefecture and largest city is Cayenne.","French Guiana is an overseas department and region of France, on the north Atlantic coast of South America. By land area, it is the second largest region of France and the largest overseas department of France and of the European Union. Its prefecture and largest city is Cayenne.",3,53,"French Guiana is an overseas department and region of France, on the north Atlantic coast of South America."
French Polynesia,French Polynesia,"French Polynesia (French: Polynésie française, Tahitian: Porinetia Farani) is a French ""overseas collectivity"" (French: collectivité d'outre mer, or COM) with the particular designation of ""overseas country"" (French: pays d'outre-mer, or POM) in the southern Pacific Ocean.
The country is made up of several groups of Polynesian islands. The most well-known is Tahiti, the most populous island, which is in the Society Islands group. The capital of the territory, Papeete, is also there.
Although it does not really belong in the territory, French Polynesia is in charge of affairs for Clipperton Island.
Other island groups include:
Austral Islands
Bass Islands often considered part of the Austral Islands
Gambier Islands often considered part of the Tuamotu Archipelago
Marquesas Islands
Society Islands (including Tahiti)
Tuamotu Archipelago
Aside from Tahiti, some other important atolls, islands, and island groups in French Polynesia are: Ahe, Bora Bora, Hiva `Oa, Huahine, Maiao, Maupiti, Mehetia, Moorea, Nuku Hiva, Raiatea, Tahaa, Tetiaroa, Tubuai, and Tupai.","French Polynesia is a French ""overseas collectivity"" with the particular designation of ""overseas country"" in the southern Pacific Ocean. The country is made up of several groups of Polynesian islands. The most well-known is Tahiti, the most populous island, which is in the Society Islands group. The capital of the territory, Papeete, is also there. Although it does not really belong in the territory, French Polynesia is in charge of affairs for Clipperton Island. Other island groups include: Austral Islands Bass Islands often considered part of the Austral Islands Gambier Islands often considered part of the Tuamotu Archipelago Marquesas Islands Society Islands Tuamotu Archipelago Aside from Tahiti, some other important atolls, islands, and island groups in French Polynesia are: Ahe, Bora Bora, Hiva `Oa, Huahine, Maiao, Maupiti, Mehetia, Moorea, Nuku Hiva, Raiatea, Tahaa, Tetiaroa, Tubuai, and Tupai.",6,170,"French Polynesia is a French ""overseas collectivity"" with the particular designation of ""overseas country"" in the southern Pacific Ocean."
French Saint Martin,Saint Martin (France),"Saint Martin (French: Saint-Martin), officially the Collectivity of Saint Martin (French: Collectivité de Saint-Martin), is a new overseas collectivity of France. It was created on 22 February 2007. It consists of the northern parts of the island of Saint Martin and neighboring small islands. The southern half of the island is a country within the Kingdom of the Netherlands.","Saint Martin, officially the Collectivity of Saint Martin, is a new overseas collectivity of France. It was created on 22 February 2007. It consists of the northern parts of the island of Saint Martin and neighboring small islands. The southern half of the island is a country within the Kingdom of the Netherlands.",4,59,"Saint Martin, officially the Collectivity of Saint Martin, is a new overseas collectivity of France."
Gabon,Gabon,"The Gabonese Republic or Gabon is a country in Africa. It is located on the equator. It has borders with the countries of Equatorial Guinea, Cameroon, and Republic of the Congo. Its capital is Libreville which is also the largest city in the country. Gabon has an area of almost 270,000 square kilometres (100,000 sq mi). 1.5 million people live in Gabon.
Gabon was a colony of France. It became a new country on August 17, 1960. Since 1960, country has had only 3 presidents. At first it had one-party rule. In the early 1990s country switched to many party government.
Gabon is one of the richest countries in Sub-Saharan Africa. It has 4th highest HDI and third highest GDP per capita (PPP) in the region. Gabon's income is not evenly given to people and many people are poor.","The Gabonese Republic or Gabon is a country in Africa. It is located on the equator. It has borders with the countries of Equatorial Guinea, Cameroon, and Republic of the Congo. Its capital is Libreville which is also the largest city in the country. Gabon has an area of almost 270,000 square kilometres. 1.5 million people live in Gabon. Gabon was a colony of France. It became a new country on August 17, 1960. Since 1960, country has had only 3 presidents. At first it had one-party rule. In the early 1990s country switched to many party government. Gabon is one of the richest countries in Sub-Saharan Africa. It has 4th highest HDI and third highest GDP per capita in the region. Gabon's income is not evenly given to people and many people are poor.",14,154,The Gabonese Republic or Gabon is a country in Africa.
Gambia,The Gambia,The Gambia is officially called the Republic of the Gambia. This country is also known as Gambia. It is a country in West Africa. It is surrounded by Senegal. It is the smallest country on mainland Africa.,The Gambia is officially called the Republic of the Gambia. This country is also known as Gambia. It is a country in West Africa. It is surrounded by Senegal. It is the smallest country on mainland Africa.,5,42,The Gambia is officially called the Republic of the Gambia.
Georgia (Country),Georgia (country),"For the US State, please see Georgia (U.S. State)
Georgia is a country in Eastern Europe, located on the coast of the Black Sea. During 1991-1995 its full name was the Republic of Georgia but since 1995 it is Georgia as written in the Constitution. Before, it was part of the Soviet Union, but now it is an independent republic. The capital city is Tbilisi. Its population is almost 5 million.","For the US State, please see Georgia Georgia is a country in Eastern Europe, located on the coast of the Black Sea. During 1991-1995 its full name was the Republic of Georgia but since 1995 it is Georgia as written in the Constitution. Before, it was part of the Soviet Union, but now it is an independent republic. The capital city is Tbilisi. Its population is almost 5 million.",5,78,"For the US State, please see Georgia Georgia is a country in Eastern Europe, located on the coast of the Black Sea."
Germany,Germany,"The Federal Republic of Germany, also called Germany (German: Bundesrepublik Deutschland or just Deutschland), is a country in Central Europe. The country's full name is sometimes shortened to the FRG (or the BRD, in German).
To the north of Germany are the North Sea, the Baltic Sea, and the country of Denmark. To the east of Germany are the countries of Poland and the Czech Republic. To the south of Germany are the countries of Austria and Switzerland. To the west of Germany are the countries of France, Luxembourg, Belgium, and the Netherlands. The total area of Germany is 357,021 square kilometres (137,847 square miles). The large majority of Germany has warm summers and cool or cold winters. In June 2013, Germany had a population of 80.6 million people. After the United States, Germany is the second most popular country for migration in the world.
Before it was called Germany, it was called Germania. In the years A.D. 900 until 1806, Germany was part of the Holy Roman Empire.
From 1949 to 1990, Germany was made up of two countries called the Federal Republic of Germany (inf. West Germany) and the German Democratic Republic (inf. East Germany). During this time, the capital city of Berlin was divided into a west and an east part. On 13 August 1961, East Germany started building the Berlin Wall between the two parts of Berlin. West Germany was one of the countries that started the European Union.","The Federal Republic of Germany, also called Germany, is a country in Central Europe. The country's full name is sometimes shortened to the FRG. To the north of Germany are the North Sea, the Baltic Sea, and the country of Denmark. To the east of Germany are the countries of Poland and the Czech Republic. To the south of Germany are the countries of Austria and Switzerland. To the west of Germany are the countries of France, Luxembourg, Belgium, and the Netherlands. The total area of Germany is 357,021 square kilometres. The large majority of Germany has warm summers and cool or cold winters. In June 2013, Germany had a population of 80.6 million people. After the United States, Germany is the second most popular country for migration in the world. Before it was called Germany, it was called Germania. In the years A.D. 900 until 1806, Germany was part of the Holy Roman Empire. From 1949 to 1990, Germany was made up of two countries called the Federal Republic of Germany and the German Democratic Republic. During this time, the capital city of Berlin was divided into a west and an east part. On 13 August 1961, East Germany started building the Berlin Wall between the two parts of Berlin. West Germany was one of the countries that started the European Union.",16,254,"The Federal Republic of Germany, also called Germany, is a country in Central Europe."
